Year,Team,Total Matches Played,NRR,Total Runs Scored by Team,Total Balls Faced,Batting Average,Average Strike Rate,Number of Hundreds,Number of Fifties,Number of Fours,Number of Sixes,Total Overs Bowled,Total Maiden Overs,Total Wickets,Total Runs Conceded,Bowling Average,Bowling Economy Rate,Average Bowling Strike Rate,Total Catches Taken,Result,Top_Batsman_Avg_,Top_bowler_Avg,Most_Wkt_Taken
2008,CSK,16,-0.192,2367,1682,26.93,140.75,1,13,243,86,305.5,5,75,2499,33.32,8.17,24.47,43,2,41.4,23.47,17
2008,DCB,14,-0.467,2024,1604,24.38,126.21,2,10,183,72,262.2,1,55,2217,40.31,8.46,28.6,42,0,36.72,29.46,15
2008,DC,14,0.342,1996,1412,24.34,141.34,0,13,217,53,267.7,2,82,2174,26.52,8.12,19.6,47,4,41.07,23.12,16
2008,PK,15,0.509,2344,1692,29.3,138.58,1,14,231,95,283,2,83,2365,28.49,8.36,20.46,43,3,68.44,23.26,19
2008,KKR,14,-0.147,1739,1500,21.72,115.93,1,8,141,70,213.3,2,61,1533,25.13,7.18,21,30,0,29.08,15.33,12
2008,MI,14,0.57,1889,1404,22.55,134.57,1,5,200,76,270,2,77,2005,26.03,7.41,21.06,61,0,43.16,29,12
2008,RR,16,0.632,2424,1802,27.58,134.57,0,16,215,84,304.2,2,96,2359,24.57,7.75,19,57,1,41.07,12.09,22
2008,RCB,14,-1.16,1844,1720,20.27,107.21,0,7,186,54,261.1,1,55,2451,44.56,9.39,28.48,33,0,28.53,27.46,13
2009,CSK,14,0.951,2084,1659,24.81,125.58,0,10,192,73,267.3,2,79,1958,24.78,7.32,20.32,37,4,52,18.64,14
2009,DCB,16,0.203,2282,1738,22.1,131.31,0,9,173,88,317.2,4,97,2275,23.45,7.17,19.6,61,1,30.93,18.13,23
2009,DC,15,0.311,2021,1662,25.26,121.58,1,11,188,51,289.6,3,91,2099,23.07,7.24,19.1,49,3,51.66,21,14
2009,PK,14,-0.483,1743,1591,22.91,109.55,0,7,139,55,248.1,3,66,1786,27.06,7.2,22.56,33,0,28.33,22.94,17
2009,KKR,14,-0.789,1600,1423,23.88,112.47,0,6,136,56,265.1,0,49,1892,38.61,7.13,32.45,35,0,40.55,27,11
2009,MI,14,0.297,1775,1544,22.49,114.96,0,13,130,54,249,2,72,1734,24.08,6.96,20.75,32,0,41.33,17.33,18
2009,RR,14,-0.352,1514,1405,18.49,107.75,0,5,131,45,247.3,2,78,1692,21.69,6.83,19,36,0,26.81,15.06,16
